ID,Filename
E000,900__box-number-small-0.svg
E001,901__box-number-small-1.svg
E002,902__box-number-small-2.svg
E003,903__box-number-small-3.svg
E004,904__box-number-small-4.svg
E005,905__box-number-small-5.svg
E006,906__box-number-small-6.svg
E007,907__box-number-small-7.svg
E008,908__box-number-small-8.svg
E009,909__box-number-small-9.svg
E00A,910__box-letter-small-a.svg
E00B,911__box-letter-small-b.svg
E00C,912__box-letter-small-c.svg
E00D,913__box-letter-small-d.svg
E00E,914__box-letter-small-e.svg
E00F,915__box-letter-small-f.svg
E800,000__seedling.svg
E801,001__meat.svg
E802,002__fish.svg
E803,003__nuka-cola.svg
E804,004__alcohol.svg
E805,005__beer.svg
E806,006__mininuke.svg
E807,007__damage-ballistic.svg
E808,008__damage-energy.svg
E809,009__ninjastar.svg
E80A,010__grenade.svg
E80B,011__fingerprint.svg
E80C,012__cube-wrench.svg
E80D,013__ore-minecraft.svg
E80E,014__calendar.svg
E80F,015__gift.svg
E810,016__event-public.svg
E811,017__harley_quinn-dcau.svg
E812,018__juicebox.svg
E813,019__cubes.svg
E814,020__bottlecap-nuka_world.svg
E815,021__playing_card-ace_of_spades.svg
E816,022__workshop.svg
E817,023__grenade-nuka.svg
E818,024__stars-legendary-1.svg
E819,025__stars-legendary-2.svg
E81A,026__stars-legendary-3.svg
E81B,027__stars-legendary-4.svg
E81C,028__stars-legendary-5.svg
E81D,029__cube-star.svg
E81E,030__shapes.svg
E81F,031__premium_crown.svg
E820,032__trash-can.svg
E821,033__globe.svg
E822,034__map-marked.svg
E823,035__flower.svg
E824,036__carrot.svg
E825,037__utensils.svg
E826,038__pill.svg
E827,039__cogs.svg
